stcotrbg,adj_acs_1,sp_1,diff_1,w_diff_1,adj_acs_2,sp_2,diff_2,w_diff_2,adj_acs_3,sp_3,diff_3,w_diff_3,adj_acs_4,sp_4,diff_4,w_diff_4,adj_acs_5,sp_5,diff_5,w_diff_5,adj_acs_6,sp_6,diff_6,w_diff_6,adj_acs_7,sp_7,diff_7,w_diff_7
"420035120001",38,35,3,0.32,82,80,2,0.46,68,57,11,2.10,50,57,7,0.98,74,78,4,0.83,9,10,1,0.03,35,39,4,0.39
"420035120002",0,0,0,0.00,60,53,7,0.59,61,67,6,0.52,140,125,15,2.96,127,128,1,0.18,165,176,11,2.56,157,161,4,0.88
"420035128001",65,76,11,1.13,92,80,12,1.74,72,80,8,0.91,129,125,4,0.81,126,130,4,0.79,83,84,1,0.13,68,60,8,0.86
"420035129001",0,0,0,0.00,50,51,1,0.21,38,40,2,0.32,40,29,11,1.83,42,55,13,2.28,34,33,1,0.14,36,32,4,0.60
"420035129002",0,0,0,0.00,95,91,4,1.53,26,17,9,0.94,46,53,7,1.29,58,63,5,1.16,2,2,0,0.00,22,23,1,0.09
"420035138001",35,50,15,1.54,52,49,3,0.46,34,30,4,0.40,68,66,2,0.40,48,45,3,0.42,13,8,5,0.19,92,94,2,0.54
"420035138002",12,7,5,0.19,115,123,8,2.85,55,50,5,0.85,40,45,5,0.62,24,21,3,0.22,62,64,2,0.38,15,13,2,0.09
"420035138003",0,0,0,0.00,0,0,0,0.00,15,13,2,0.19,84,88,4,2.13,24,25,1,0.15,11,12,1,0.07,24,20,4,0.61
"420035140001",30,25,5,0.46,42,40,2,0.26,87,84,3,0.80,50,49,1,0.15,52,55,3,0.48,28,30,2,0.17,36,42,6,0.66
"420035140002",11,7,4,0.08,121,109,12,2.48,53,48,5,0.45,150,159,9,2.31,110,113,3,0.56,57,58,1,0.10,83,91,8,1.14
"420035151001",19,17,2,0.10,32,37,5,0.42,42,43,1,0.11,58,40,18,2.75,62,70,8,1.31,65,59,6,1.03,102,114,12,3.22
