stcotrbg,adj_acs_1,sp_1,diff_1,w_diff_1,adj_acs_2,sp_2,diff_2,w_diff_2,adj_acs_3,sp_3,diff_3,w_diff_3,adj_acs_4,sp_4,diff_4,w_diff_4,adj_acs_5,sp_5,diff_5,w_diff_5,adj_acs_6,sp_6,diff_6,w_diff_6,adj_acs_7,sp_7,diff_7,w_diff_7
"420031516003",0,0,0,0.00,0,4,4,0.00,28,29,1,0.13,14,19,5,0.32,60,63,3,0.83,83,75,8,3.05,33,28,5,0.76
"420031517001",11,10,1,0.03,23,21,2,0.10,60,55,5,0.68,27,32,5,0.31,57,64,7,0.91,142,148,6,1.94,120,110,10,2.73
"420031517002",62,64,2,0.39,25,37,12,0.93,16,19,3,0.15,0,2,2,0.00,59,57,2,0.37,118,104,14,5.15,41,38,3,0.38
"420031517003",14,23,9,0.34,32,28,4,0.34,47,44,3,0.38,55,57,2,0.29,62,69,7,1.16,86,74,12,2.77,77,78,1,0.21
"420031517004",0,0,0,0.00,0,0,0,0.00,11,10,1,0.04,9,11,2,0.06,12,12,0,0.00,184,204,20,12.56,77,56,21,5.52
"420031517005",114,124,10,2.70,8,22,14,0.27,75,52,23,4.09,8,18,10,0.19,100,105,5,1.18,96,86,10,2.27,21,15,6,0.30
"420031517006",39,31,8,0.61,36,44,8,0.56,62,65,3,0.36,66,80,14,1.80,128,122,6,1.50,98,100,2,0.38,83,70,13,2.11
"420031608001",11,6,5,0.22,12,16,4,0.20,23,35,12,1.12,58,65,7,1.65,93,82,11,4.16,37,33,4,0.60,12,9,3,0.15
"420031608002",48,53,5,0.75,67,71,4,0.84,61,59,2,0.38,72,66,6,1.35,34,35,1,0.11,37,35,2,0.23,0,0,0,0.00
"420031608003",30,32,2,0.19,0,7,7,0.00,41,37,4,0.52,60,62,2,0.38,88,90,2,0.56,76,63,13,3.12,22,26,4,0.28
"420031608004",12,12,0,0.00,15,22,7,0.30,71,69,2,0.41,27,24,3,0.23,12,20,8,0.28,139,151,12,4.82,70,48,22,4.45
"420031609001",137,124,13,3.39,73,75,2,0.28,42,38,4,0.32,26,30,4,0.20,68,72,4,0.52,41,46,5,0.39,138,140,2,0.53
"420031609002",70,71,1,0.06,98,106,8,0.66,101,99,2,0.17,188,194,6,0.95,208,217,9,1.58,312,299,13,3.42,210,201,9,1.59
"420031702001",57,58,1,0.16,0,7,7,0.00,90,83,7,1.76,30,22,8,0.67,16,18,2,0.09,132,138,6,2.21,33,32,1,0.09
"420031702002",40,41,1,0.09,11,19,8,0.20,16,23,7,0.25,57,61,4,0.51,78,73,5,0.87,105,105,0,0.00,141,126,15,4.72
"420031702003",52,60,8,0.60,85,74,11,1.35,66,69,3,0.29,52,63,11,0.83,136,129,7,1.38,260,253,7,2.63,40,43,3,0.17
"420031702004",46,50,4,0.33,12,13,1,0.02,52,58,6,0.55,118,124,6,1.25,51,49,2,0.18,186,165,21,6.90,101,107,6,1.07
"420031706001",36,43,7,1.04,25,27,2,0.21,27,21,6,0.67,8,10,2,0.07,24,26,2,0.20,27,30,3,0.33,96,86,10,3.95
"420031706002",0,3,3,0.00,52,51,1,0.15,47,52,5,0.67,27,25,2,0.15,50,47,3,0.43,64,79,15,2.74,111,94,17,5.38
"420031706003",30,32,2,0.19,46,39,7,1.05,43,47,4,0.56,77,71,6,1.50,29,29,0,0.00,83,90,7,1.89,0,0,0,0.00
"420031803001",116,121,5,1.13,78,80,2,0.30,48,47,1,0.09,118,96,22,5.04,48,52,4,0.37,107,119,12,2.49,0,0,0,0.00
